# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is astrolab, 
#     and thy time is Tue Mar 13 15:58:11 2018
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> Off
#   <Limb darkening>        quadratic
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  6.405e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    92.019  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    27.692     13.846   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>          5.637      3.361   (dimensionless)
#   <Polar Radius>     0.356      0.466   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.022      0.013   (m kg/s^2)
#   <Polar Radius>  5.31e+10   6.96e+10   (meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    76.279     99.979   (solar radius)
# 
#   <Mean Temp.>      5702.9     5702.5   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      1.300              (dimensionless)
#   <Temperature>     5700.0     5700.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           0.500      0.500   (dimensionless)
#   <Grav. Dark.>      0.097      0.097   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        4.6946   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Fillout Factor>                   0.9328   (dimensionless)
#   <Surface Potential Secondary>      2.5973   (dimensionless)
#   <... in Primary frame>             4.6946   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     2.42034e+14     3.60722e+14
#   Band   1:     3.08216e+14     4.62025e+14
#   Band   2:     3.36423e+14     5.10849e+14
#   Band   3:     3.17054e+14     4.84885e+14
#   Band   4:     2.46313e+14     3.79451e+14
#   Band   5:     9.38502e+13     1.45841e+14
#   Band   6:     4.57799e+13     7.14004e+13
#   Band   7:     1.74684e+13     2.73123e+13
#   Band   8:     2.22609e+14     3.30468e+14
#   Band   9:     2.88868e+14     4.31897e+14
#   Band  10:     3.19477e+14     4.80021e+14
#   Band  11:     3.35795e+14     5.09661e+14
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
#  <      V Band>  Mean Residual   0.036677   SDV Residuals    0.00452
#        Runs      12    Upper Limit    116    Lower Limit      87
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     6.02756e+14            0.75
#   Band   1:     7.70242e+14            0.75
#   Band   2:     8.47272e+14            0.75
#   Band   3:      8.0194e+14            0.75
#   Band   4:     6.25764e+14            0.75
#   Band   5:     2.39692e+14            0.75
#   Band   6:      1.1718e+14            0.75
#   Band   7:     4.47807e+13            0.75
#   Band   8:     5.53077e+14            0.75
#   Band   9:     7.20765e+14            0.75
#   Band  10:     7.99498e+14            0.75
#   Band  11:     8.45456e+14            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
 15 -0.0625 338609847014890.375000 433542013639388.312500 499496719784064.062500 486151607420980.687500 390084971472664.437500 154659091619790.500000 76793005315137.921875 29687101742339.226562 305906846104220.312500 403930176421539.812500 452504260984030.250000 497415121333623.625000      -9.893       10.71
 16 -0.0500 313888188999289.937500 401944735493512.687500 465357856769312.062500 454223166322508.625000 365487422356615.000000 145396497686031.281250 72301386378467.156250 27980838221941.667969 283099384957962.562500 374324683884586.625000 419768725496190.812500 463320645013224.750000      -8.056       10.03
 17 -0.0375 290087889573243.437500 371462893905603.437500 432051324218082.812500 422875068352194.312500 341176963357557.000000 136164803633937.218750 67805824513781.000000 26269911040418.035156 261212386463554.343750 345820599149611.625000 388133022551960.437500 430074518074195.687500      -6.117        8.96
 18 -0.0250 270871933817975.437500 346803435965445.937500 405205623374713.062500 397707263009336.750000 321747667998545.937500 128836445577625.468750 64247770892732.671875 24921483632430.339844 243515725385095.093750 322785912840309.187500 362533021259321.500000 403272792976498.312500       -4.09       7.156
 19 -0.0125 256925836738203.781250 328941186853029.000000 385683048674991.750000 379367220487241.875000 307568345688640.937500 123482746410334.078125 61646309938265.039062 23935857729486.796875 230693530715641.531250 306103075581349.812500 343984664045005.062500 383787134180876.000000      -2.048       4.187
 20  0.0000 251575263605677.250000 322102059749781.250000 378193015588743.000000 372322616888147.500000 302118298069873.062500 121424691881488.765625 60646053223045.460938 23556952434666.371094 225779700603483.375000 299713530186078.562500 336883270450531.312500 376312334835818.187500  -1.303e-15   6.348e-16
 21  0.0125 256925836738203.750000 328941186853029.000000 385683048674991.687500 379367220487242.000000 307568345688640.937500 123482746410334.062500 61646309938265.046875 23935857729486.792969 230693530715641.500000 306103075581349.750000 343984664045005.000000 383787134180875.937500       2.048      -4.187
 22  0.0250 270871933817975.468750 346803435965445.937500 405205623374713.062500 397707263009336.750000 321747667998546.000000 128836445577625.468750 64247770892732.656250 24921483632430.335938 243515725385095.062500 322785912840309.187500 362533021259321.562500 403272792976498.375000        4.09      -7.156
 23  0.0375 290087889573243.500000 371462893905603.312500 432051324218082.562500 422875068352194.437500 341176963357556.937500 136164803633937.203125 67805824513781.000000 26269911040418.027344 261212386463554.343750 345820599149611.687500 388133022551960.437500 430074518074195.812500       6.117       -8.96
 24  0.0500 313888188999289.937500 401944735493512.687500 465357856769312.062500 454223166322508.562500 365487422356614.937500 145396497686031.343750 72301386378467.156250 27980838221941.664062 283099384957962.562500 374324683884586.562500 419768725496190.750000 463320645013224.937500       8.056      -10.03
 25  0.0625 338609847014890.437500 433542013639388.187500 499496719784063.875000 486151607420980.625000 390084971472664.437500 154659091619790.500000 76793005315137.906250 29687101742339.234375 305906846104220.375000 403930176421539.812500 452504260984030.312500 497415121333623.687500       9.893      -10.71
 26  0.0750 363360907724699.312500 465129723943962.687500 533237944538706.000000 517507558427355.062500 414083151663987.000000 163621083791803.375000 81119492262318.890625 31327935124068.031250 328815551324405.125000 433586824577273.687500 485173216053482.625000 531131477750153.062500       11.67      -11.29
 27  0.0875 388473240516954.125000 497169808899090.187500 567088771327368.125000 548735204324704.500000 437794899311177.187500 172382140742502.000000 85326720588509.453125 32917224969448.761719 352137903936613.125000 463695484947337.812500 518270459587168.687500 564975009796525.500000       13.37      -11.78
 28  0.1000 414150914842534.000000 529956862295758.812500 601512433832339.000000 580351538082266.125000 461691230194917.500000 181157626507625.906250 89528290760224.265625 34500231602237.105469 376037784710925.312500 494510591112086.687500 552122815369777.937500 599401906045018.250000          15      -12.17
 29  0.1125 439164978966048.875000 561927059595982.687500 634680486330529.875000 610556526312258.750000 484311624004172.687500 189360336168979.437500 93430670335353.296875 35962660240098.054688 399411368596125.437500 524572615006960.687500 585098301013784.125000 632592860026962.750000       16.55      -12.55
